monaCode,이름,정당,선거구,성별
04T3751T,남인순,더불어민주당,서울 송파구병,여
0698755I,이해민,조국혁신당,비례대표,여
0R68099X,이수진,더불어민주당,경기 성남시중원구,여
0VU8517U,황희,더불어민주당,서울 양천구갑,남
0YT3774N,황운하,조국혁신당,비례대표,남
1A82234K,박은정,조국혁신당,비례대표,여
1JI2689F,박용갑,더불어민주당,대전 중구,남
1S05899F,채현일,더불어민주당,서울 영등포구갑,남
1SR94244,김소희,국민의힘,비례대표,여
1WE5693J,김태년,더불어민주당,경기 성남시수정구,남
1Y73132H,김상훈,국민의힘,대구 서구,남
2385336L,정청래,더불어민주당,서울 마포구을,남
25G2571T,전현희,더불어민주당,서울 중구성동구갑,여
2NV6751W,장철민,더불어민주당,대전 동구,남
2S73768V,이훈기,더불어민주당,인천 남동구을,남
3249208I,송옥주,더불어민주당,경기 화성시갑,여
3BC6890E,김미애,국민의힘,부산 해운대구을,여
3C23171A,진성준,더불어민주당,서울 강서구을,남
3CC88975,김기표,더불어민주당,경기 부천시을,남
3LP22204,이재강,더불어민주당,경기 의정부시을,남
3NI5978A,조지연,국민의힘,경북 경산시,여
3OQ8273H,양문석,더불어민주당,경기 안산시갑,남
3TP65086,윤종오,진보당,울산 북구,남
3UI95829,김우영,더불어민주당,서울 은평구을,남
3ZR4438W,이인영,더불어민주당,서울 구로구갑,남
4019850M,박정,더불어민주당,경기 파주시을,남
42K7317Y,강승규,국민의힘,충남 홍성군예산군,남
43Q3892U,박희승,더불어민주당,전북 남원시장수군임실군순창군,남
4L695580,김원이,더불어민주당,전남 목포시,남
4T026790,임오경,더불어민주당,경기 광명시갑,여
4U29186R,문진석,더불어민주당,충남 천안시갑,남
4X525582,배현진,국민의힘,서울 송파구을,여
51A45980,서미화,더불어민주당,비례대표,여
5762459L,이정헌,더불어민주당,서울 광진구갑,남
5765663F,김영진,더불어민주당,경기 수원시병,남
57B28032,김재섭,국민의힘,서울 도봉구갑,남
5K93695T,김승수,국민의힘,대구 북구을,남
5KV82250,조경태,국민의힘,부산 사하구을,남
5KV96424,강준현,더불어민주당,세종특별자치시을,남
5MD4184K,홍기원,더불어민주당,경기 평택시갑,남
5N65159P,김윤,더불어민주당,비례대표,남
5TQ6306B,박수현,더불어민주당,충남 공주시부여군청양군,남
68P7228G,진선미,더불어민주당,서울 강동구갑,여
6AU2417B,박주민,더불어민주당,서울 은평구갑,남
6EN68926,송언석,국민의힘,경북 김천시,남
6I88973D,부승찬,더불어민주당,경기 용인시병,남
6K79158C,이용우,더불어민주당,인천 서구을,남
6RD62559,박정하,국민의힘,강원 원주시갑,남
6U243644,박형수,국민의힘,경북 의성군청송군영덕군울진군,남
6VC83722,김현정,더불어민주당,경기 평택시병,남
6WK3815W,김태선,더불어민주당,울산 동구,남
7469929V,구자근,국민의힘,경북 구미시갑,남
7BM2933Y,김영호,더불어민주당,서울 서대문구을,남
7GW5372Y,김선민,조국혁신당,비례대표,여
7R156073,박범계,더불어민주당,대전 서구을,남
7XY7109I,성일종,국민의힘,충남 서산시태안군,남
7YC6702R,이건태,더불어민주당,경기 부천시병,남
7YL9580G,김현,더불어민주당,경기 안산시을,여
80C5885Z,서왕진,조국혁신당,비례대표,남
8348421R,엄태영,국민의힘,충북 제천시단양군,남
86R9476S,김문수,더불어민주당,전남 순천시광양시곡성군구례군갑,남
88O1334C,김성회,더불어민주당,경기 고양시갑,남
8A05621B,김준형,조국혁신당,비례대표,남
8BF5855P,박지원,더불어민주당,전남 해남군완도군진도군,남
8FB1535Y,어기구,더불어민주당,충남 당진시,남
8JG4358H,한민수,더불어민주당,서울 강북구을,남
8L52480G,이상휘,국민의힘,경북 포항시남구울릉군,남
8O34202I,김영환,더불어민주당,경기 고양시정,남
8P37634C,강득구,더불어민주당,경기 안양시만안구,남
8Q88373R,김병기,더불어민주당,서울 동작구갑,남
8SV6917G,주호영,국민의힘,대구 수성구갑,남
8TU8443O,조계원,더불어민주당,전남 여수시을,남
8UC4779G,우재준,국민의힘,대구 북구갑,남
8X15119P,윤한홍,국민의힘,경남 창원시마산회원구,남
8XE7026P,정연욱,국민의힘,부산 수영구,남
95J3282H,이광희,더불어민주당,충북 청주시서원구,남
9901388T,강명구,국민의힘,경북 구미시을,남
9D939735,김성원,국민의힘,경기 동두천시양주시연천구을,남
9HE7226N,정진욱,더불어민주당,광주 동구남구갑,남
9JF4562W,이용선,더불어민주당,서울 양천구을,남
9LD2641Q,김정호,더불어민주당,경남 김해시을,남
9VR65006,윤영석,국민의힘,경남 양산시갑,남
9YO73104,전재수,더불어민주당,부산 북구갑,남
A0P4646G,최형두,국민의힘,경남 창원시마산합포구,남
A494529E,천준호,더불어민주당,서울 강북구갑,남
AEJ19639,박정훈,국민의힘,서울 송파구갑,남
AEO5706C,이강일,더불어민주당,충북 청주시상당구,남
AFH96856,신영대,더불어민주당,전북 군산시김제시부안군갑,남
ANS8383S,김대식,국민의힘,부산 사상구,남
ARP89147,정동영,더불어민주당,전북 전주시병,남
ATB59635,김승원,더불어민주당,경기 수원시갑,남
B7789327,인요한,국민의힘,비례대표,남
B7D7534L,김영배,더불어민주당,서울 성북구갑,남
BCQ55105,한준호,더불어민주당,경기 고양시을,남
BNV6535N,정혜경,진보당,비례대표,여
BRU2690F,오세희,더불어민주당,비례대표,여
BT62420K,박찬대,더불어민주당,인천 연수구갑,남
C7E79345,권칠승,더불어민주당,경기 화성시병,남
CAA7713A,백종헌,국민의힘,부산 금정구,남
CCU1009B,이해식,더불어민주당,서울 강동구을,남
CGW7415Z,정성국,국민의힘,부산 부산진구갑,남
CIZ8557P,장종태,더불어민주당,대전 서구갑,남
CK143054,양부남,더불어민주당,광주 서구을,남
CNW5754J,송석준,국민의힘,경기 이천시,남
CNZ51556,김예지,국민의힘,비례대표,여
CST4991F,임광현,더불어민주당,비례대표,남
D6U6678O,김주영,더불어민주당,경기 김포시갑,남
D9I3309M,문대림,더불어민주당,제주 제주시갑,남
DAV7257X,이원택,더불어민주당,전북 군산시김제시부안군을,남
DAY6557K,정동만,국민의힘,부산 기장군,남
DMP1439I,김재원,조국혁신당,비례대표,여
DWK26447,이인선,국민의힘,대구 수성구을,여
E1J8836Y,김정재,국민의힘,경북 포항시북구,여
E2B3753X,박해철,더불어민주당,경기 안산시병,남
EB16073M,안도걸,더불어민주당,광주 동구남구을,남
EBH1101V,이연희,더불어민주당,충북 청주시흥덕구,남
EFU76868,권향엽,더불어민주당,전남 순천시광양시곡성군구례군을,여
EH27538E,임이자,국민의힘,경북 상주시문경시,여
EMH4976E,박지혜,더불어민주당,경기 의정부시갑,여
EPI69383,김용태,국민의힘,경기 포천시가평군,남
EVH1507C,이헌승,국민의힘,부산 부산진구을,남
FH777496,임호선,더불어민주당,충북 증평군진천군음성군,남
FIE6569O,곽상언,더불어민주당,서울 종로구,남
FJK3396E,맹성규,더불어민주당,인천 남동구갑,남
FOK3459D,서삼석,더불어민주당,전남 영암군무안군신안군,남
FU53642G,허영,더불어민주당,강원 춘천시철원군화천군양구군갑,남
FU87526G,박수영,국민의힘,부산 남구,남
FYI20317,조승래,더불어민주당,대전 유성구갑,남
G152611B,추경호,국민의힘,대구 달성군,남
G6W8250J,박준태,국민의힘,비례대표,남
GDG1847Z,권성동,국민의힘,강원 강릉시,남
GE71932C,용혜인,기본소득당,비례대표,여
GF286398,김병주,더불어민주당,경기 남양주시을,남
GJ56729D,복기왕,더불어민주당,충남 아산시갑,남
GJK57930,주진우,국민의힘,부산 해운대구갑,남
GOC54665,문정복,더불어민주당,경기 시흥시갑,여
GP07421U,윤건영,더불어민주당,서울 구로구을,남
GP21946O,박충권,국민의힘,비례대표,남
GRP3908I,문금주,더불어민주당,전남 고흥군보성군장흥군강진군,남
GX22581L,강민국,국민의힘,경남 진주시을,남
GX38539O,유동수,더불어민주당,인천 계양구갑,남
H5476989,한병도,더불어민주당,전북 익산시을,남
HE08888N,김기웅,국민의힘,대구 중구남구,남
HFV52269,이병진,더불어민주당,경기 평택시을,남
HHB5652A,허성무,더불어민주당,경남 창원시성산구,남
HRG9655C,김희정,국민의힘,부산 연제구,여
HS39431V,고동진,국민의힘,서울 강남구병,남
HSS7466Y,백혜련,더불어민주당,경기 수원시을,여
HSW1214Q,이종배,국민의힘,충북 충주시,남
HVV5250J,박정현,더불어민주당,대전 대덕구,여
HXT76735,박상혁,더불어민주당,경기 김포시을,남
I5I2468R,최기상,더불어민주당,서울 금천구,남
I7R13867,이개호,더불어민주당,전남 담양군함평군영광군장성군,남
IC499858,정준호,더불어민주당,광주 북구갑,남
IL74008M,박성준,더불어민주당,서울 중구성동구을,남
IN328264,조정식,더불어민주당,경기 시흥시을,남
IUD9392R,이재명,더불어민주당,인천 계양구을,남
IUX1829H,김남근,더불어민주당,서울 성북구을,남
IWK63872,조배숙,국민의힘,비례대표,여
IWR8966I,박균택,더불어민주당,광주 광산구갑,남
J1G57517,모경종,더불어민주당,인천 서구병,남
JC14718Q,윤준병,더불어민주당,전북 정읍시고창군,남
JEZ3130Q,김형동,국민의힘,경북 안동시예천군,남
JG77046J,이언주,더불어민주당,경기 용인시정,여
JNL7001A,김선교,국민의힘,경기 여주시양평군,남
JP222486,서천호,국민의힘,경남 사천시남해군하동군,남
JQA21112,한기호,국민의힘,강원 춘천시철원군화천군양구군을,남
JSA8739I,손명수,더불어민주당,경기 용인시을,남
JZV5283U,유영하,국민의힘,대구 달서구갑,남
JZY9937U,김윤덕,더불어민주당,전북 전주시갑,남
K5F2023J,이학영,더불어민주당,경기 군포시,남
KBK8836C,유용원,국민의힘,비례대표,남
KFM1081G,장동혁,국민의힘,충남 보령시서천군,남
KNP22261,차규근,조국혁신당,비례대표,남
L2I9861C,강대식,국민의힘,대구 동구군위군을,남
L5P27909,김은혜,국민의힘,경기 성남시분당구을,여
L7J93733,서범수,국민의힘,울산 울주군,남
LCZ1711I,김위상,국민의힘,비례대표,남
LG63087O,권영세,국민의힘,서울 용산구,남
LH97552Q,김도읍,국민의힘,부산 강서구,남
LJK4960Z,정점식,국민의힘,경남 통영시고성군,남
LT72093S,정일영,더불어민주당,인천 연수구을,남
LYY5513O,권영진,국민의힘,대구 달서구병,남
M0A1658U,윤호중,더불어민주당,경기 구리시,남
M2Q9024I,김종민,무소속,세종특별자치시갑,남
M4O5221T,박민규,더불어민주당,서울 관악구갑,남
M7O7878U,신정훈,더불어민주당,전남 나주시화순군,남
MDC3257K,백승아,더불어민주당,비례대표,여
ME83002L,조승환,국민의힘,부산 중구영도구,남
MIS62075,김동아,더불어민주당,서울 서대문구갑,남
MLH1404S,김민석,더불어민주당,서울 영등포구을,남
MNZ4401T,강선우,더불어민주당,서울 강서구갑,여
MQK9493H,윤종군,더불어민주당,경기 안성시,남
MQU41854,조은희,국민의힘,서울 서초구갑,여
MR210505,서일준,국민의힘,경남 거제시,남
MSY7784L,윤상현,국민의힘,인천 동구미추홀구을,남
MU69217P,유상범,국민의힘,강원 홍천군횡성군영월군평창군,남
N2P9317N,이성윤,더불어민주당,전북 전주시을,남
N378078V,김종양,국민의힘,경남 창원시의창구,남
N4R2421C,박덕흠,국민의힘,충북 보은군옥천군영동군괴산군,남
NA61091D,정을호,더불어민주당,비례대표,남
NB64509Z,김용만,더불어민주당,경기 하남시을,남
NLS46526,이종욱,국민의힘,경남 창원시진해구,남
NPD75153,신장식,조국혁신당,비례대표,남
NQO7187X,강선영,국민의힘,비례대표,여
NUB4941Z,김한규,더불어민주당,제주 제주시을,남
NX534083,박성훈,국민의힘,부산 북구을,남
NXB3178C,김남희,더불어민주당,경기 광명시을,여
O0I2045I,이정문,더불어민주당,충남 천안시병,남
O6D8329R,민홍철,더불어민주당,경남 김해시갑,남
O7R5461J,윤후덕,더불어민주당,경기 파주시갑,남
OFE45081,김용민,더불어민주당,경기 남양주시병,남
OIA3741M,오기형,더불어민주당,서울 도봉구을,남
OSV9142K,이만희,국민의힘,경북 영천시청도군,남
OWD1018N,신동욱,국민의힘,서울 서초구을,남
P0F1530P,김태호,국민의힘,경남 양산시을,남
P7U7800Z,서지영,국민의힘,부산 동래구,여
P8A4624C,전종덕,진보당,비례대표,여
PFG2137X,정희용,국민의힘,경북 고령군성주군칠곡군,남
PYA8594I,안상훈,국민의힘,비례대표,남
Q129715Y,강유정,더불어민주당,비례대표,여
Q918403D,한지아,국민의힘,비례대표,여
QDU1100U,진종오,국민의힘,비례대표,남
QQ429063,서명옥,국민의힘,서울 강남구갑,여
QQP4727N,배준영,국민의힘,인천 중구강화군옹진군,남
QUR40502,전진숙,더불어민주당,광주 북구을,여
QWL7778X,이준석,개혁신당,경기 화성시을,남
RAJ1024Z,임종득,국민의힘,경북 영주시영양군봉화군,남
RC885085,차지호,더불어민주당,경기 오산시,남
REG96285,곽규택,국민의힘,부산 서구동구,남
RG972910,송재봉,더불어민주당,충북 청주시청원구,남
RJH6314D,황명선,더불어민주당,충남 논산시계룡시금산군,남
RKS3658I,이재관,더불어민주당,충남 천안시을,남
RMC1840P,신성범,국민의힘,경남 산청군함양군거창군합천군,남
ROS6754L,이달희,국민의힘,비례대표,여
RPN2293B,장경태,더불어민주당,서울 동대문구을,남
RQQ3807K,위성곤,더불어민주당,제주 서귀포시,남
RUZ25800,노종면,더불어민주당,인천 부평구갑,남
S824682L,박홍근,더불어민주당,서울 중랑구을,남
S9U45255,이양수,국민의힘,강원 속초시인제군고성군양양군,남
SLW27496,나경원,국민의힘,서울 동작구을,여
SQ36001H,송기헌,더불어민주당,강원 원주시을,남
T2T8225E,강경숙,조국혁신당,비례대표,여
T3E4932G,조국,조국혁신당,비례대표,남
T465023H,주철현,더불어민주당,전남 여수시갑,남
T4I4862D,한창민,사회민주당,비례대표,남
T6A6557F,황정아,더불어민주당,대전 유성구을,여
T9E37304,위성락,더불어민주당,비례대표,남
TCP9838Y,김민전,국민의힘,비례대표,여
TJW93720,전용기,더불어민주당,경기 화성시정,남
TKJ4800F,서영교,더불어민주당,서울 중랑구갑,여
TQP7167T,김건,국민의힘,비례대표,남
TRE2429O,강훈식,더불어민주당,충남 아산시을,남
TST4507I,안규백,더불어민주당,서울 동대문구갑,남
TZ228122,민병덕,더불어민주당,경기 안양시동안구갑,남
TZP9391O,이철규,국민의힘,강원 동해시태백시삼척시정선군,남
UF53617M,최은석,국민의힘,대구 동구군위군갑,남
UHB5553T,정태호,더불어민주당,서울 관악구을,남
UOS16250,최보윤,국민의힘,비례대표,여
UQ282145,이재정,더불어민주당,경기 안양시동안구을,여
URV1689Q,추미애,더불어민주당,경기 하남시갑,여
URX8075K,염태영,더불어민주당,경기 수원시무,남
V2R7430Z,이춘석,더불어민주당,전북 익산시갑,남
V429892C,정성호,더불어민주당,경기 동두천시양주시연천군갑,남
VA04150X,박상웅,국민의힘,경남 밀양시의령군함안군창녕군,남
VCP96419,허종식,더불어민주당,인천 동구미추홀구갑,남
VDN5593C,김상욱,국민의힘,울산 남구갑,남
VRY5522V,민형배,더불어민주당,광주 광산구을,남
VZA76236,박선원,더불어민주당,인천 부평구을,남
W3U3344O,이기헌,더불어민주당,경기 고양시병,남
W4X85128,박대출,국민의힘,경남 진주시갑,남
W8L9421K,안태준,더불어민주당,경기 광주시을,남
W8W95421,이상식,더불어민주당,경기 용인시갑,남
WCD5518S,고민정,더불어민주당,서울 광진구을,여
WI719547,이주영,개혁신당,비례대표,여
WJG74792,최수진,국민의힘,비례대표,여
WJL30106,조정훈,국민의힘,서울 마포구갑,남
WTR5885Y,이소영,더불어민주당,경기 의왕시과천시,여
WXJ8352N,이성권,국민의힘,부산 사하구갑,남
X1K3667J,김교흥,더불어민주당,인천 서구갑,남
X3170462,박성민,국민의힘,울산 중구,남
X639721U,임미애,더불어민주당,비례대표,여
X7E7893P,김장겸,국민의힘,비례대표,남
X7I4680R,김기현,국민의힘,울산 남구을,남
XBT9550Q,우원식,무소속,서울 노원구갑,남
XEF29171,안호영,더불어민주당,전북 완주군진안군무주군,남
XG348314,정춘생,조국혁신당,비례대표,여
XPP2564T,한정애,더불어민주당,서울 강서구병,여
XR24352K,서영석,더불어민주당,경기 부천시갑,남
XSP20229,김성환,더불어민주당,서울 노원구을,남
Y0X4618N,박수민,국민의힘,서울 강남구을,남
YGB8604T,천하람,개혁신당,비례대표,남
YM42715P,김준혁,더불어민주당,경기 수원시정,남
YOG1280B,안철수,국민의힘,경기 성남시분당구갑,남
YS38221N,최민희,더불어민주당,경기 남양주시갑,여
ZDR63255,소병훈,더불어민주당,경기 광주시갑,남
ZKB18611,조인철,더불어민주당,광주 서구갑,남
ZRF3039U,윤재옥,국민의힘,대구 달서구을,남
ZW43496R,박홍배,더불어민주당,비례대표,남
ZYP7962W,김석기,국민의힘,경북 경주시,남
